Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6,Text Area 7,Text Area 8,Text Area 9,Text Area 10,Text Area 11,Text Area 12,Text Area 13,Text Area 14,Text Area 15,Text Area 16,Text Area 17,Text Area 18,Text Area 19,Text Area 20,Text Area 21,Text Area 22,Text Area 23,Text Area 24,Text Area 25,Comments,total containers,total items,total unique items
1,Document,,,,,,,,,Draft,db,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Page,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Entity,Entity Relationship,2,,,,,,,,Products,PK,id,bigserial,FK,brand_id,bigint,FK,category_id,bigint,,price,money,,quantity,bigint,,created_at,timestamp,,name,text,,,,,,,
4,Entity,Entity Relationship,2,,,,,,,,Orders,PK,id,bigserial,FK,user_id,bigint,,price,money,FK,address_id,bigint,,created_at,timestamp,,order_status,enum,,,,,,,,,,
5,Entity,Entity Relationship,2,,,,,,,,Users,PK,user_id,bigserial,,user_type,enum,,email,text,,password,chkpass,,phone,text,,first_name,text,,last_name,text,,created_at,timestamp,,,,
6,Entity,Entity Relationship,2,,,,,,,,Brands,PK,id,bigserial,,name,text,,,,,,,,,,,,,,,,,,,,,,
7,Entity,Entity Relationship,2,,,,,,,,Reviews,PK,id,bigserial,FK,product_id,bigint,FK,user_id,bigint,,raiting,smallint,,title,text,,comment,text,,created_at,timestamp,,,,,,,
8,Entity,Entity Relationship,2,,,,,,,,Order_Items,"PK, FK",product_id,bigint,"PK, FK",order_id,bigint,,quantity,bigint,,,,,,,,,,,,,,,,,,,
9,Entity,Entity Relationship,2,,,,,,,,Categories,PK,category_id,bigserial,FK,parent_category_id,bigint,,name,text,,,,,,,,,,,,,,,,,,,
10,Entity,Entity Relationship,2,,,,,,,,Addresses,PK,address_id,bigserial,FK,user_id,bigint,,address,text,,,,,,,,,,,,,,,,,,,
11,Entity,Entity Relationship,2,,,,,,,,Media,PK,image_id,bigserial,FK,product_id,bigint,,url,text,,filetype,text,,,,,,,,,,,,,,,,
12,Entity,Entity Relationship,2,,,,,,,,Orders_Transactions,PK,order_transaction_id,bigserial,FK,order_id,bigint,,order_status,enum,,updated_at,timestamp,,,,,,,,,,,,,,,,
13,Entity,Entity Relationship,2,,,,,,,,Sections,PK,section_id,bigserial,,name,text,,,,,,,,,,,,,,,,,,,,,,
14,Entity,Entity Relationship,2,,,,,,,,Sections_Categories,"PK, FK",category_id,bigint,"PK, FK",section_id,bigint,,,,,,,,,,,,,,,,,,,,,,
15,Line,,2,,,3,7,CFN ERD One Arrow,CFN ERD Zero Or More Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Line,,2,,,7,5,CFN ERD Zero Or More Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Line,,2,,,6,3,CFN ERD One Arrow,CFN ERD Zero Or More Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Line,,2,,,5,4,CFN ERD One Arrow,CFN ERD Zero Or More Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Line,,2,,,9,3,CFN ERD One Arrow,CFN ERD Zero Or More Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Line,,2,,,3,8,CFN ERD One Arrow,CFN ERD Zero Or More Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Line,,2,,,4,8,CFN ERD One Arrow,CFN ERD Zero Or More Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Line,,2,,,5,10,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Line,,2,,,4,10,CFN ERD One Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Line,,2,,,9,9,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Line,,2,,,4,12,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Line,,2,,,3,11,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Line,,2,,,9,14,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Line,,2,,,13,14,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Group 1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0